instance181.gr: cost: 123630549.00, avg_time: 152.31 ms, avg-memory: 65344.23 KB, runs: 301
instance182.gr: cost: 1391959079.00, avg_time: 53.68 ms, avg-memory: 23622.47 KB, runs: 847
instance183.gr: cost: 135158278.00, avg_time: 144.14 ms, avg-memory: 58732.67 KB, runs: 304
instance184.gr: cost: 1363981205.00, avg_time: 57.67 ms, avg-memory: 24905.94 KB, runs: 780
instance185.gr: cost: 1237599808.00, avg_time: 79.30 ms, avg-memory: 33485.06 KB, runs: 500
instance186.gr: cost: 1077784728.00, avg_time: 82.06 ms, avg-memory: 34760.37 KB, runs: 511
instance187.gr: cost: 1524769234.00, avg_time: 76.54 ms, avg-memory: 32295.68 KB, runs: 654
instance188.gr: cost: 1275743502.00, avg_time: 84.01 ms, avg-memory: 35648.40 KB, runs: 587
instance189.gr: cost: 226697702.00, avg_time: 202.09 ms, avg-memory: 82408.69 KB, runs: 248
instance190.gr: cost: 145479392.00, avg_time: 186.15 ms, avg-memory: 75838.75 KB, runs: 269
instance191.gr: cost: 1331137969.00, avg_time: 102.28 ms, avg-memory: 42311.33 KB, runs: 485
instance192.gr: cost: 1566248323.00, avg_time: 84.76 ms, avg-memory: 36291.41 KB, runs: 588
instance193.gr: cost: 232930.00, avg_time: 21.80 ms, avg-memory: 10826.14 KB, runs: 1000
instance194.gr: cost: 199321504.00, avg_time: 233.52 ms, avg-memory: 93504.78 KB, runs: 215
instance195.gr: cost: 2017713666.00, avg_time: 106.44 ms, avg-memory: 44352.90 KB, runs: 469
instance196.gr: cost: 206649181.00, avg_time: 253.05 ms, avg-memory: 97457.76 KB, runs: 198
instance197.gr: cost: 254923029.00, avg_time: 290.84 ms, avg-memory: 111785.86 KB, runs: 172
instance198.gr: cost: 818915725.00, avg_time: 32.03 ms, avg-memory: 15295.53 KB, runs: 1000
instance199.gr: cost: 18244.00, avg_time: 23.23 ms, avg-memory: 11465.71 KB, runs: 1000
instance200.gr: cost: 18281.00, avg_time: 23.24 ms, avg-memory: 11464.46 KB, runs: 1000
