instance143.gr: cost: 6233.00, avg_time: 13.75 ms, avg-memory: 3953.10 KB, runs: 1000
instance144.gr: cost: 2029.00, avg_time: 22.06 ms, avg-memory: 6251.26 KB, runs: 1000
instance145.gr: cost: 3500224.00, avg_time: 12.32 ms, avg-memory: 3439.67 KB, runs: 1000
instance146.gr: cost: 3900320.00, avg_time: 12.41 ms, avg-memory: 3561.53 KB, runs: 1000
instance147.gr: cost: 1545.00, avg_time: 21.33 ms, avg-memory: 6083.06 KB, runs: 1000
instance148.gr: cost: 4300465.00, avg_time: 12.69 ms, avg-memory: 3564.43 KB, runs: 1000
instance149.gr: cost: 4403479.00, avg_time: 12.91 ms, avg-memory: 3689.67 KB, runs: 1000
instance150.gr: cost: 2283.00, avg_time: 35.55 ms, avg-memory: 8224.71 KB, runs: 1000
instance151.gr: cost: 19397.00, avg_time: 43.90 ms, avg-memory: 10435.67 KB, runs: 1000
instance152.gr: cost: 25623.00, avg_time: 116.41 ms, avg-memory: 16571.40 KB, runs: 430
instance153.gr: cost: 4300397.00, avg_time: 13.08 ms, avg-memory: 3563.50 KB, runs: 1000
instance154.gr: cost: 4500784.00, avg_time: 12.85 ms, avg-memory: 3688.48 KB, runs: 1000
instance155.gr: cost: 13682.00, avg_time: 12.96 ms, avg-memory: 3438.92 KB, runs: 1000
instance156.gr: cost: 10746.00, avg_time: 17.48 ms, avg-memory: 4719.01 KB, runs: 1000
instance157.gr: cost: 1130.00, avg_time: 16.83 ms, avg-memory: 4841.71 KB, runs: 1000
instance158.gr: cost: 1484.00, avg_time: 16.64 ms, avg-memory: 4975.88 KB, runs: 1000
instance159.gr: cost: 1377.00, avg_time: 22.10 ms, avg-memory: 5837.52 KB, runs: 1000
instance160.gr: cost: 2106.00, avg_time: 29.23 ms, avg-memory: 6999.61 KB, runs: 1000
instance161.gr: cost: 7090.00, avg_time: 35.31 ms, avg-memory: 4558.20 KB, runs: 1000
instance162.gr: cost: 7075.00, avg_time: 35.01 ms, avg-memory: 4553.45 KB, runs: 1000
